nombre,razon_social,cuit,telefono,email
FERRETERIA FH,FARIÑAS DANIEL EDUARDO,-,-,-
FERRETERIA MARIOTTO,FERRETERIA INDUSTRIAL MARIOTTO S.R.L.,-,-,-
FERRETERIA NEPA,CELANO NESTOR MARCELO,-,-,-
FERRIN,FERRIN NORBERTO JOSE,-,-,-
FOURCADE,FOURCADE RICARDO HECTOR,-,-,-
FRENOS MONTEVERDE,MATINERO JUAN PABLO,-,-,-
GALPA ,GALPA S.R.L.,-,-,-
GAMOPA ,GAMOPA S.A.C.I.F.E.I.,-,-,-
GEC,GEC S.A.,-,-,-
GIANNONI,PINTURERIA GIANNONI S.A.,-,-,-
GONZALEZ SOTO,GONZALEZ SOTO SH,-,-,-
GRAFICA EL TOKE,BONZI PABLO NICOLAS,-,-,-
HELOU,HELOU LEANDRO MARTIN,-,-,-
HERRATURR,HERRAJES TURRIN S.A.,-,-,-
HIDRAULICA LONGCHAMPS,ORELLANA GUSTAVO RAFAEL,-,-,-
HIDRONOVA,DI STEFANO CARLOS,-,-,-
HIDRONOVA,HIDRONOVA S.R.L.,-,-,-
HIERROFE,HIERROFE S.R.L.,-,-,-
HIERROS CASANOVA,G. CASANOVA Y CIA S.A.,-,-,-
HIERROS MORELLI,HIERROS MORELLI S.R.L.,-,-,-
HIERROTAN,TANKOIL S.R.L.,-,-,-
HIZA,HIZA JUAN CARLOS,-,-,-
ILFRA,ILFRA OESTE S.A,-,-,-
ILUZ,ILUZ S.A.,-,-,-
IM INDUSTRIAS ,IM INDUSTRIAS S.R.L.,-,-,-
INDRIERI LEANDRO MAXIMILIANO,INDRIERI LEANDRO MAXIMILIANO,-,-,-
INDUSELL,INDUSELL SRL,-,-,-
INOXIDABLES PIERRI,INOXIDABLES PIERRI S.A.,-,-,-
INTERNET,SERVICIOS MGW S.A.,-,-,-
ITALPREN,ITALPREN DE PUGLIESE HERMANOS S.R.L.,-,-,-
IVECAM,IVECAM S.A.,-,-,-
JCD,JUAN CARLOS DONADON S.R.L.,-,-,-
JMH,JMH S.R.L.,-,-,-
JORGE CD KOT,CESKIAVIKUS JORGE ROBERTO,-,-,-
KAESER,KAESER COMPRESORES DE ARGENTINA S.R.L.,-,-,-
KORMAT,PROYECTOS  KORMAT S.A.,-,-,-
LENOX TANYX,MAYNAR SRL,-,-,-
LIDERES,CONSULTORES DE SEGURIDAD S.R.L.,-,-,-
LOS PORTUGUESES,TALLER DE ELASTICOS LOS PORTUGUESES S.R.L.,-,-,-
LUBRICENTRO RUTA,SAN MARTIN ALBERTO ENRIQUE,-,-,-
LUGANO LUBRICENTRO,MARTORELLI LEONARDO,-,-,-
MACEGO,MAIDANA ALDANA SOLEDAD,-,-,-
MANUFACTURAS DAVIO S.R.L.,MANUFACTURAS DAVIO S.R.L.,-,-,-
MARBY,MARBY S.A.,-,-,-
MARSIGLIONE ANTONIO LUIS,MARSIGLIONE ANTONIO LUIS,-,-,-
